"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Oct 09 16:24:21 IST 2025","Thu Oct 09 16:25:29 IST 2025","68190","JPetStore","verifyAllPets","testcases.DashBoardTest","testcases.DashBoardTest","verifyAllPets","verifyAllPets",""
"passed","Thu Oct 09 12:44:43 IST 2025","Thu Oct 09 12:44:51 IST 2025","8001","JPetStore","Verifylogin","testcases.StoreEntryTest","testcases.StoreEntryTest","Verifylogin","Verifylogin",""
"passed","Thu Oct 09 12:44:51 IST 2025","Thu Oct 09 12:44:59 IST 2025","8053","JPetStore","verifyAvailablePets","testcases.DashBoardTest","testcases.DashBoardTest","verifyAvailablePets","verifyAvailablePets",""
"passed","Thu Oct 09 12:44:36 IST 2025","Thu Oct 09 12:44:39 IST 2025","3463","JPetStore","VerifySignInButtonPresence","testcases.StoreEntryTest","testcases.StoreEntryTest","VerifySignInButtonPresence","VerifySignInButtonPresence",""
"passed","Thu Oct 09 12:44:39 IST 2025","Thu Oct 09 12:44:43 IST 2025","3396","JPetStore","VerifyStoreEntryTitle","testcases.StoreEntryTest","testcases.StoreEntryTest","VerifyStoreEntryTitle","VerifyStoreEntryTitle",""
"passed","Thu Oct 09 16:20:53 IST 2025","Thu Oct 09 16:20:56 IST 2025","3515","JPetStore","VerifyHomePageTitle","testcases.HomePageTest","testcases.HomePageTest","VerifyHomePageTitle","VerifyHomePageTitle",""
